Run;MethodName;Duration(ms)
76;UpdateParentWithChildren;20.0316
76;DeleteParentWithChildren;9.4233
77;InsertParentWithChildren;38.2130
77;GetParentsWithChildren;1.3907
77;UpdateParentWithChildren;19.4120
77;DeleteParentWithChildren;20.9088
78;InsertParentWithChildren;19.8127
78;GetParentsWithChildren;1.8980
78;UpdateParentWithChildren;20.7533
78;DeleteParentWithChildren;21.1601
79;InsertParentWithChildren;8.6172
79;GetParentsWithChildren;1.6368
79;UpdateParentWithChildren;19.7395
79;DeleteParentWithChildren;20.5730
80;InsertParentWithChildren;19.4813
80;GetParentsWithChildren;1.9056
80;UpdateParentWithChildren;20.9352
80;DeleteParentWithChildren;21.5365
81;InsertParentWithChildren;8.6453
81;GetParentsWithChildren;1.5225
81;UpdateParentWithChildren;21.2782
81;DeleteParentWithChildren;9.7427
82;InsertParentWithChildren;43.5889
82;GetParentsWithChildren;1.6459
82;UpdateParentWithChildren;21.9315
82;DeleteParentWithChildren;10.1881
83;InsertParentWithChildren;17.8260
83;GetParentsWithChildren;1.5839
83;UpdateParentWithChildren;10.6656
83;DeleteParentWithChildren;15.5385
84;InsertParentWithChildren;21.1225
84;GetParentsWithChildren;1.8884
84;UpdateParentWithChildren;10.2183
84;DeleteParentWithChildren;22.6067
85;InsertParentWithChildren;9.8141
85;GetParentsWithChildren;1.6909
85;UpdateParentWithChildren;20.5311
85;DeleteParentWithChildren;21.4919
86;InsertParentWithChildren;18.8812
86;GetParentsWithChildren;1.9740
86;UpdateParentWithChildren;9.4398
86;DeleteParentWithChildren;15.3710
87;InsertParentWithChildren;57.5527
87;GetParentsWithChildren;1.7073
87;UpdateParentWithChildren;21.3723
87;DeleteParentWithChildren;11.4846
88;InsertParentWithChildren;14.0895
88;GetParentsWithChildren;1.7596
88;UpdateParentWithChildren;20.6313
88;DeleteParentWithChildren;22.1610
89;InsertParentWithChildren;9.8903
89;GetParentsWithChildren;1.8016
89;UpdateParentWithChildren;21.2273
89;DeleteParentWithChildren;10.3446
90;InsertParentWithChildren;23.9338
90;GetParentsWithChildren;1.7347
90;UpdateParentWithChildren;21.0820
90;DeleteParentWithChildren;9.3224
91;InsertParentWithChildren;22.7545
91;GetParentsWithChildren;1.7725
91;UpdateParentWithChildren;9.7583
91;DeleteParentWithChildren;22.0439
92;InsertParentWithChildren;10.0157
92;GetParentsWithChildren;1.5721
92;UpdateParentWithChildren;47.0813
92;DeleteParentWithChildren;18.5035
93;InsertParentWithChildren;13.3588
93;GetParentsWithChildren;1.8271
93;UpdateParentWithChildren;22.2648
93;DeleteParentWithChildren;21.4407
94;InsertParentWithChildren;10.9740
94;GetParentsWithChildren;1.9897
94;UpdateParentWithChildren;20.1136
94;DeleteParentWithChildren;21.7246
95;InsertParentWithChildren;9.3986
95;GetParentsWithChildren;1.7814
95;UpdateParentWithChildren;20.1235
95;DeleteParentWithChildren;15.8756
96;InsertParentWithChildren;9.8869
96;GetParentsWithChildren;1.7257
96;UpdateParentWithChildren;7.0898
96;DeleteParentWithChildren;45.8592
97;InsertParentWithChildren;9.7655
97;GetParentsWithChildren;1.7476
97;UpdateParentWithChildren;13.8121
97;DeleteParentWithChildren;10.7600
98;InsertParentWithChildren;15.6930
98;GetParentsWithChildren;1.6653
98;UpdateParentWithChildren;54.8059
98;DeleteParentWithChildren;9.2578
99;InsertParentWithChildren;9.8057
99;GetParentsWithChildren;1.6359
99;UpdateParentWithChildren;13.2305
99;DeleteParentWithChildren;13.7961
100;InsertParentWithChildren;18.7061
100;GetParentsWithChildren;1.7499
100;UpdateParentWithChildren;20.5318
100;DeleteParentWithChildren;14.7551
101;InsertParentWithChildren;47.9225
101;GetParentsWithChildren;1.7410
101;UpdateParentWithChildren;21.4796
101;DeleteParentWithChildren;9.9601
102;InsertParentWithChildren;17.7691
102;GetParentsWithChildren;1.6987
102;UpdateParentWithChildren;21.8583
102;DeleteParentWithChildren;16.6114
103;InsertParentWithChildren;21.8084
103;GetParentsWithChildren;1.8039
103;UpdateParentWithChildren;21.7339
103;DeleteParentWithChildren;23.3344
104;InsertParentWithChildren;17.6461
104;GetParentsWithChildren;1.6294
104;UpdateParentWithChildren;8.4444
104;DeleteParentWithChildren;15.1528
105;InsertParentWithChildren;22.1855
105;GetParentsWithChildren;1.6629
105;UpdateParentWithChildren;20.8513
105;DeleteParentWithChildren;9.7141
106;InsertParentWithChildren;7.9604
106;GetParentsWithChildren;1.6705
106;UpdateParentWithChildren;54.0259
106;DeleteParentWithChildren;14.6235
107;InsertParentWithChildren;8.0226
107;GetParentsWithChildren;1.5192
107;UpdateParentWithChildren;21.3811
107;DeleteParentWithChildren;22.0428
108;InsertParentWithChildren;21.9188
108;GetParentsWithChildren;1.6325
108;UpdateParentWithChildren;9.4997
108;DeleteParentWithChildren;22.4442
109;InsertParentWithChildren;21.1217
109;GetParentsWithChildren;1.9969
109;UpdateParentWithChildren;20.9563
109;DeleteParentWithChildren;22.1280
110;InsertParentWithChildren;20.0930
110;GetParentsWithChildren;1.7706
110;UpdateParentWithChildren;22.1206
110;DeleteParentWithChildren;22.2173
111;InsertParentWithChildren;16.0204
111;GetParentsWithChildren;1.5759
111;UpdateParentWithChildren;20.7260
111;DeleteParentWithChildren;15.3955
112;InsertParentWithChildren;21.2613
112;GetParentsWithChildren;1.7178
112;UpdateParentWithChildren;20.9158
112;DeleteParentWithChildren;11.1626
113;InsertParentWithChildren;22.0818
113;GetParentsWithChildren;1.9945
113;UpdateParentWithChildren;21.3786
113;DeleteParentWithChildren;23.1075
114;InsertParentWithChildren;22.2499
114;GetParentsWithChildren;1.4078
114;UpdateParentWithChildren;21.7428
114;DeleteParentWithChildren;22.2874
115;InsertParentWithChildren;8.2676
