Run;MethodName;Duration(ms);MemoryUsed(bytes)
112;DeleteParentWithChildren;6,3883;57288
113;InsertParentWithChildren;6,3468;49224
113;GetParentsWithChildren;1,2374;24632
113;UpdateParentWithChildren;5,8796;49280
113;DeleteParentWithChildren;4,3279;53000
114;InsertParentWithChildren;7,3779;53352
114;GetParentsWithChildren;1,2220;20352
114;UpdateParentWithChildren;7,6311;53176
114;DeleteParentWithChildren;9,5327;57288
115;InsertParentWithChildren;6,3701;49224
115;GetParentsWithChildren;1,1483;24632
115;UpdateParentWithChildren;6,6337;53176
115;DeleteParentWithChildren;6,7366;57288
116;InsertParentWithChildren;7,9462;49224
116;GetParentsWithChildren;1,1784;24632
116;UpdateParentWithChildren;5,3699;53176
116;DeleteParentWithChildren;4,4728;57288
117;InsertParentWithChildren;6,7071;49224
117;GetParentsWithChildren;1,1135;24632
117;UpdateParentWithChildren;6,1564;53176
117;DeleteParentWithChildren;5,6705;57288
118;InsertParentWithChildren;6,9022;49224
118;GetParentsWithChildren;1,2823;24672
118;UpdateParentWithChildren;6,7016;53176
118;DeleteParentWithChildren;7,0218;57288
119;InsertParentWithChildren;6,5599;49224
119;GetParentsWithChildren;1,2602;24632
119;UpdateParentWithChildren;6,0494;53176
119;DeleteParentWithChildren;7,9460;57288
120;InsertParentWithChildren;8,1784;49224
120;GetParentsWithChildren;1,1710;24632
120;UpdateParentWithChildren;7,2537;53176
120;DeleteParentWithChildren;6,2492;57288
121;InsertParentWithChildren;8,3530;49224
121;GetParentsWithChildren;1,1303;24632
121;UpdateParentWithChildren;18,0761;53176
121;DeleteParentWithChildren;8,3694;57288
122;InsertParentWithChildren;9,2873;49224
122;GetParentsWithChildren;1,3198;24632
122;UpdateParentWithChildren;7,9021;53176
122;DeleteParentWithChildren;6,4520;57288
123;InsertParentWithChildren;9,1036;49224
123;GetParentsWithChildren;1,4854;20352
123;UpdateParentWithChildren;11,2641;53176
123;DeleteParentWithChildren;6,8024;57288
124;InsertParentWithChildren;7,8936;49224
124;GetParentsWithChildren;1,2104;24632
124;UpdateParentWithChildren;6,2063;53176
124;DeleteParentWithChildren;7,3234;57288
125;InsertParentWithChildren;10,7777;49224
125;GetParentsWithChildren;1,6366;24632
125;UpdateParentWithChildren;9,0548;53176
125;DeleteParentWithChildren;8,6589;57288
126;InsertParentWithChildren;9,4101;49224
126;GetParentsWithChildren;13,1830;24632
126;UpdateParentWithChildren;11,2337;53176
126;DeleteParentWithChildren;15,4851;57288
127;InsertParentWithChildren;8,9429;49224
127;GetParentsWithChildren;1,7031;24632
127;UpdateParentWithChildren;6,5575;49280
127;DeleteParentWithChildren;6,3779;57288
128;InsertParentWithChildren;8,5559;53352
128;GetParentsWithChildren;1,6002;20352
128;UpdateParentWithChildren;6,8881;53176
128;DeleteParentWithChildren;7,2112;57264
129;InsertParentWithChildren;6,7547;49224
129;GetParentsWithChildren;1,1384;24632
129;UpdateParentWithChildren;10,7276;53176
129;DeleteParentWithChildren;7,9514;57544
130;InsertParentWithChildren;5,9400;49224
130;GetParentsWithChildren;1,2367;24632
130;UpdateParentWithChildren;6,6457;53176
130;DeleteParentWithChildren;6,6051;57544
131;InsertParentWithChildren;8,1773;49224
131;GetParentsWithChildren;1,3378;24632
131;UpdateParentWithChildren;6,0666;53176
